CRPCD,MATID,HIGNAME,ABBRC,CGENES,ADMNC,POLID,LOTID,GENCD,FPTID,MCNBID,MVRMK ,MLTST,MSTSL,Labelled? 
CORN,16AX900800,abcdedfasadasdadadadad,TYX6548     :2-5-10   -,Bt11:GA21,8385.10-,GO20845747,PAPI41X5S01VAV,F2HD4,16DRAXSF802T21S,CNCGWRZ648834,Exception,,16AX900800-1,No
CORN,16AX900800,,TYX6 548     :2-5-    10-,Bt11:GA21,8385.10-,GO20845747,PAPI41X5S01VAV,F2HD4,16DRAXSF802T21S,CNCGWRZ64883Q,Exception,,16AX900800-1,No
CORN,16AX900799,,TYX6548:2-5-9-,Bt11:GA21,8385.9-,GO20845747,PAPI41X5S01VAW,F2HD4,16DRAXSF802T21S,CNCGWRZ648833,Exception,,16AX900799-1,No
CORN,16AX900798,,TYX6548:2-5-8-,Bt11:GA21,8385.8-,GO20845747,PAPI41X5S01VAX,F2HD4,16DRAXSF802T21S,CNCGWRZ648832,Exception,,16AX900798-1,No
CORN,16AX900779,,TYX6548:2-3-9-,Bt11:GA21,8383.9-,GO20845743,PAPI41X5S01VC0,F2HD4,16DRAXSF802T21S,CNCGWRZ648812,Exception,,16AX900779-1,No
CORN,16AX900778,,TYX6548:2-3-8-,Bt11:GA21,8383.8-,GO20845743,PAPI41X5S01VC1,F2HD4,16DRAXSF802T21S,CNCGWRZ648811,Exception,,16AX900778-1,No
CORN,16AX900777,,TYX6548:2-3-7-,Bt11:GA21,8383.7-,GO20845743,PAPI41X5S01VC2,F2HD4,16DRAXSF802T21S,CNCGWRZ648810,Exception,,16AX900777-1,No
CORN,16AX900776,,TYX6548:2- 3 -6-,Bt11:GA21,8383.6-,GO20845743,PAPI41X5S01VC3,F2HD4,16DRAXSF802T21S,CNCGWRZ648809,Exception,,16AX900776-1,No
CORN,16AX900775,,TYX6548:2-3-5-,Bt11:GA21,8383.5-,GO20845743,PAPI41X5S01VC4,F2HD4,16DRAXSF802T21S,CNCGWRZ648808,Exception,,16AX900775-1,No
CORN,16AX900774,,TYX6548:2-3-4-,Bt11:GA21,8383.4-,GO20845743,PAPI41X5S01VC5,F2HD4,16DRAXSF802T21S,CNCGWRZ648807,Exception,,16AX900774-1,No
CORN,16AX900773,,TYX6548:2-3-3-,Bt11:GA21,8383.3-,GO20845743,PAPI41X5S01VC6,F2HD4,16DRAXSF802T21S,CNCGWRZ648806,Exception,,16AX900773-1,No
CORN,16AX900772,,TYX6548:2-3-2-,Bt11:GA21,8383.2-,GO20845743,PAPI41X5S01VC7,F2HD4,16DRAXSF802T21S,CNCGWRZ648804,Exception,,16AX900772-1,No
CORN,16AX900771,,TYX6548:2-3-1-,Bt11:GA21,8383.1-,GO20845743,PAPI41X5S01VC8,F2HD4,16DRAXSF802T21S,CNCGWRZ648803,Exception,,16AX900771-1,No
